,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__class_weight,param_clf__estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,4.753016471862793,0.3873531201842879,0.00016055107116699218,9.491210961957591e-05,balanced,100,"{'clf__estimator__class_weight': 'balanced', 'clf__estimator__n_estimators': 100}",,,,,,,,1
1,5.084345817565918,0.0887469647919647,0.00011038780212402344,4.4807472079595596e-06,balanced_subsample,100,"{'clf__estimator__class_weight': 'balanced_subsample', 'clf__estimator__n_estimators': 100}",,,,,,,,2
