,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__class_weight,param_clf__estimator__min_samples_split,param_clf__estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,246.32375650405885,1.439060301974068,8.105584144592285,0.13599221469321154,balanced,2,100,"{'clf__estimator__class_weight': 'balanced', 'clf__estimator__min_samples_split': 2, 'clf__estimator__n_estimators': 100}",0.4836794163176037,0.48345183026899985,0.48081958494320703,0.4824141932977079,0.48656332779715594,0.483385670524935,0.0018823778928746969,11
1,462.28956813812255,3.072601819500806,12.987488937377929,0.20957422078781815,balanced,2,200,"{'clf__estimator__class_weight': 'balanced', 'clf__estimator__min_samples_split': 2, 'clf__estimator__n_estimators': 200}",0.4876241914835542,0.4874517770901421,0.4828904032949132,0.4842244745238508,0.48985229375297074,0.4864086280290862,0.002512887578378946,9
2,193.7514994621277,1.3091469183057285,8.01124973297119,0.10658604054398318,balanced,3,100,"{'clf__estimator__class_weight': 'balanced', 'clf__estimator__min_samples_split': 3, 'clf__estimator__n_estimators': 100}",0.49219415255933646,0.4906159334633524,0.4855326801427475,0.48939231299822633,0.4938259656719084,0.49031220896711425,0.0028167552542220017,8
3,399.82335286140443,8.275461869179184,13.776939868927002,0.47989477925414925,balanced,3,200,"{'clf__estimator__class_weight': 'balanced', 'clf__estimator__min_samples_split': 3, 'clf__estimator__n_estimators': 200}",0.4934974714340337,0.4913522672480153,0.48465904641010615,0.49297176784250774,0.4918803695784219,0.4908721845026169,0.0031984490997834674,6
4,169.69896306991578,4.358106156201141,8.387318420410157,0.3429079835649294,balanced,5,100,"{'clf__estimator__class_weight': 'balanced', 'clf__estimator__min_samples_split': 5, 'clf__estimator__n_estimators': 100}",0.49778856105724867,0.4911360184498448,0.4915231240518375,0.496280252487536,0.49457779733920576,0.4942611506771345,0.0026031866032992963,4
5,340.5589692592621,4.834199797761011,13.516269540786743,0.18408815321132593,balanced,5,200,"{'clf__estimator__class_weight': 'balanced', 'clf__estimator__min_samples_split': 5, 'clf__estimator__n_estimators': 200}",0.4967506682935435,0.4939309085559782,0.4895276967721021,0.49948449158511066,0.49531626439598686,0.4950020059205443,0.003297410087758927,2
6,246.78547501564026,2.848569085994849,8.244296455383301,0.09895931207451374,balanced_subsample,2,100,"{'clf__estimator__class_weight': 'balanced_subsample', 'clf__estimator__min_samples_split': 2, 'clf__estimator__n_estimators': 100}",0.48163234881894795,0.48029110454845797,0.47788086513366324,0.48594245149847465,0.48491214210873435,0.48213178242165566,0.002965111314885254,12
7,494.75216460227966,12.517409750054215,13.62341251373291,0.2512211425029935,balanced_subsample,2,200,"{'clf__estimator__class_weight': 'balanced_subsample', 'clf__estimator__min_samples_split': 2, 'clf__estimator__n_estimators': 200}",0.48548903013389866,0.4851415110369822,0.48051794363448125,0.4845541882926116,0.48884114699559805,0.4849087640187144,0.0026555430106841283,10
8,208.12543749809265,0.9985386574230186,8.270538759231567,0.13921076488077894,balanced_subsample,3,100,"{'clf__estimator__class_weight': 'balanced_subsample', 'clf__estimator__min_samples_split': 3, 'clf__estimator__n_estimators': 100}",0.49393466999637464,0.4892794334373762,0.4872203446887182,0.4902831840485726,0.49107234394857807,0.4903579952239239,0.0022052954291312335,7
9,417.5956329345703,4.413389724073272,13.495790100097656,0.12520331553514708,balanced_subsample,3,200,"{'clf__estimator__class_weight': 'balanced_subsample', 'clf__estimator__min_samples_split': 3, 'clf__estimator__n_estimators': 200}",0.4941943507646147,0.4905666128106598,0.48674368256332406,0.4936781370564363,0.4904713681007132,0.4911308302591496,0.0026785901657209754,5
10,178.42308778762816,3.25265499393969,8.416300630569458,0.10713279792866504,balanced_subsample,5,100,"{'clf__estimator__class_weight': 'balanced_subsample', 'clf__estimator__min_samples_split': 5, 'clf__estimator__n_estimators': 100}",0.4956989706980147,0.4929726837073227,0.4940306397408957,0.49388689221830895,0.49572588373848314,0.49446301402060505,0.0010828090435797348,3
11,365.28036255836486,8.067700395721431,13.739741611480714,0.14412314968158307,balanced_subsample,5,200,"{'clf__estimator__class_weight': 'balanced_subsample', 'clf__estimator__min_samples_split': 5, 'clf__estimator__n_estimators': 200}",0.4963191067730031,0.4943436913811678,0.4925590755865015,0.4955210349183548,0.49674857379362264,0.49509829649052994,0.0015106006998399887,1
